----------------------------------------
Parameters           | Value               
----------------------------------------
DEBUG                | false               
epsilon              | 1.0e-8              
file_name            | default             
image_name           | default             
lqueue               | 3                   
modifierH            | eigen               
modifierS            | none                
nIters               | 1000                
problem              | cutest-sif/DENSCHNB.SIF
repetitions          | 30                  
seed                 | 42                  
show_info            | true                
tol                  | 1.0e-8              
useDimProblem        | false               
----------------------------------------
Dimension of the problem: 2
Random Vectors being used: 2
----------------------------------------
>>Normal mode
Execution Info - Oviedo | Iters:      7 | TTime: 0.33967 | LastNorm: 6.00336e-10 | Iterations/sec: 20.60818 | Convergence: true |
Execution Info - Grads  | Iters:      7 | TTime: 0.12379 | LastNorm: 6.00336e-10 | Iterations/sec: 56.54737 | Convergence: true |
Execution Info - Random | Iters:     13 | TTime: 0.00012 | LastNorm: 4.80054e-10 | Iterations/sec: 104857.60000 | Convergence: true |
Execution Info - Random | Iters:     16 | TTime: 0.00008 | LastNorm: 0.00000e+00 | Iterations/sec: 202745.81269 | Convergence: true |
Execution Info - Random | Iters:      7 | TTime: 0.00002 | LastNorm: 0.00000e+00 | Iterations/sec: 349525.33333 | Convergence: true |
Execution Info - Random | Iters:     17 | TTime: 0.00005 | LastNorm: 8.61533e-14 | Iterations/sec: 327078.75229 | Convergence: true |
Execution Info - Random | Iters:      7 | TTime: 0.00002 | LastNorm: 1.24275e-11 | Iterations/sec: 353736.48193 | Convergence: true |
Execution Info - Random | Iters:      6 | TTime: 0.00002 | LastNorm: 3.60811e-09 | Iterations/sec: 375609.31343 | Convergence: true |
Execution Info - Random | Iters:     22 | TTime: 0.00007 | LastNorm: 2.11387e-13 | Iterations/sec: 333121.61733 | Convergence: true |
Execution Info - Random | Iters:      7 | TTime: 0.00002 | LastNorm: 1.46140e-10 | Iterations/sec: 367001.60000 | Convergence: true |
Execution Info - Random | Iters:     15 | TTime: 0.00004 | LastNorm: 7.99361e-14 | Iterations/sec: 347594.25414 | Convergence: true |
Execution Info - Random | Iters:      7 | TTime: 0.00002 | LastNorm: 8.98783e-12 | Iterations/sec: 367001.60000 | Convergence: true |
Execution Info - Random | Iters:      7 | TTime: 0.00002 | LastNorm: 1.51214e-09 | Iterations/sec: 386317.47368 | Convergence: true |
Execution Info - Random | Iters:      7 | TTime: 0.00002 | LastNorm: 1.50299e-10 | Iterations/sec: 367001.60000 | Convergence: true |
Execution Info - Random | Iters:     11 | TTime: 0.00003 | LastNorm: 0.00000e+00 | Iterations/sec: 354902.64615 | Convergence: true |
Execution Info - Random | Iters:      8 | TTime: 0.00002 | LastNorm: 9.55814e-14 | Iterations/sec: 360800.34409 | Convergence: true |
Execution Info - Random | Iters:     18 | TTime: 0.00005 | LastNorm: 0.00000e+00 | Iterations/sec: 352791.92523 | Convergence: true |
Execution Info - Random | Iters:     11 | TTime: 0.00003 | LastNorm: 0.00000e+00 | Iterations/sec: 354902.64615 | Convergence: true |
Execution Info - Random | Iters:     13 | TTime: 0.00004 | LastNorm: 2.84226e-14 | Iterations/sec: 361099.01987 | Convergence: true |
Execution Info - Random | Iters:     20 | TTime: 0.00006 | LastNorm: 8.00593e-15 | Iterations/sec: 343795.40984 | Convergence: true |
Execution Info - Random | Iters:     18 | TTime: 0.00005 | LastNorm: 0.00000e+00 | Iterations/sec: 340078.70270 | Convergence: true |
Execution Info - Random | Iters:     17 | TTime: 0.00005 | LastNorm: 1.24347e-13 | Iterations/sec: 354742.12935 | Convergence: true |
Execution Info - Random | Iters:      7 | TTime: 0.00002 | LastNorm: 2.03119e-09 | Iterations/sec: 367001.60000 | Convergence: true |
Execution Info - Random | Iters:      6 | TTime: 0.00002 | LastNorm: 1.11360e-09 | Iterations/sec: 399457.52381 | Convergence: true |
Execution Info - Random | Iters:     13 | TTime: 0.00004 | LastNorm: 1.24523e-12 | Iterations/sec: 351780.33548 | Convergence: true |
Execution Info - Random | Iters:      7 | TTime: 0.00002 | LastNorm: 6.00336e-10 | Iterations/sec: 367001.60000 | Convergence: true |
Execution Info - Random | Iters:      6 | TTime: 0.00002 | LastNorm: 1.33227e-15 | Iterations/sec: 399457.52381 | Convergence: true |
Execution Info - Random | Iters:     13 | TTime: 0.00004 | LastNorm: 8.88178e-16 | Iterations/sec: 351780.33548 | Convergence: true |
Execution Info - Random | Iters:     29 | TTime: 0.00009 | LastNorm: 3.81739e-12 | Iterations/sec: 337874.48889 | Convergence: true |
Execution Info - Random | Iters:      7 | TTime: 0.00002 | LastNorm: 2.78576e-09 | Iterations/sec: 371647.18987 | Convergence: true |
Execution Info - Random | Iters:     23 | TTime: 0.00006 | LastNorm: 1.42997e-13 | Iterations/sec: 359958.92537 | Convergence: true |
Execution Info - Random | Iters:      7 | TTime: 0.00002 | LastNorm: 1.16620e-09 | Iterations/sec: 367001.60000 | Convergence: true |
Execution Info - Random Mean (30 repetitions) | Iters:     12 | TTime: 0.00004 | LastNorm: 4.54036e-10 | Iterations/sec: 345922.17950 | Convergence: true |
