----------------------------------------
Parameters           | Value               
----------------------------------------
NTRIES               | 6                   
epsilon              | 1.0e-8              
lqueue               | 3                   
modifierH            | none                
modifierS            | none                
nIters               | 1000                
problem              | 1-cutest-sif/BIGGS6.SIF
repetitions          | 30                  
seed                 | 42                  
show_info            | true                
subdirectory         | simplest            
tol                  | 1.0e-8              
useLS                | false               
varN                 | N                   
varP                 | -1                  
----------------------------------------
Number of variables: 6
Factor: 1.0
Execution Info - Gradient descent with LS | Iters:   1000 | TTime: 0.00114 | LastNorm: 1.17374e-02 | Iterations/sec: 878020.51497 | Convergence: false |
Execution Info - Oviedo | Iters:     15 | TTime: 0.34343 | LastNorm: 4.92213e-09 | Iterations/sec: 43.67690 | Convergence: true |
Execution Info - Grads  | Iters:    599 | TTime: 0.09608 | LastNorm: 9.87463e-09 | Iterations/sec: 6234.38381 | Convergence: true |
Execution Info - Random | Iters:   1000 | TTime: 0.00505 | LastNorm: 4.98029e-03 | Iterations/sec: 197863.19464 | Convergence: false |
Execution Info - Random | Iters:   1000 | TTime: 0.00502 | LastNorm: 4.36984e-03 | Iterations/sec: 199358.52464 | Convergence: false |
Execution Info - Random | Iters:   1000 | TTime: 0.00502 | LastNorm: 3.55528e-03 | Iterations/sec: 199207.02921 | Convergence: false |
Execution Info - Random | Iters:   1000 | TTime: 0.00501 | LastNorm: 8.99953e-04 | Iterations/sec: 199766.81273 | Convergence: false |
Execution Info - Random | Iters:   1000 | TTime: 0.00496 | LastNorm: 8.61102e-04 | Iterations/sec: 201775.34036 | Convergence: false |
Execution Info - Random | Iters:   1000 | TTime: 0.00498 | LastNorm: 1.00970e-03 | Iterations/sec: 200636.40277 | Convergence: false |
Execution Info - Random | Iters:   1000 | TTime: 0.00496 | LastNorm: 3.51458e-03 | Iterations/sec: 201571.70319 | Convergence: false |
Execution Info - Random | Iters:   1000 | TTime: 0.00498 | LastNorm: 5.37624e-04 | Iterations/sec: 200886.24934 | Convergence: false |
Execution Info - Random | Iters:   1000 | TTime: 0.00496 | LastNorm: 1.54141e-02 | Iterations/sec: 201610.45953 | Convergence: false |
Execution Info - Random | Iters:   1000 | TTime: 0.00496 | LastNorm: 3.10628e-03 | Iterations/sec: 201494.23520 | Convergence: false |
Execution Info - Random | Iters:   1000 | TTime: 0.00497 | LastNorm: 2.40474e-03 | Iterations/sec: 201242.87496 | Convergence: false |
Execution Info - Random | Iters:   1000 | TTime: 0.01481 | LastNorm: 1.03145e-02 | Iterations/sec: 67525.90398 | Convergence: false |
Execution Info - Random | Iters:   1000 | TTime: 0.00491 | LastNorm: 6.66919e-03 | Iterations/sec: 203715.77056 | Convergence: false |
Execution Info - Random | Iters:   1000 | TTime: 0.00497 | LastNorm: 8.94480e-03 | Iterations/sec: 201165.65947 | Convergence: false |
Execution Info - Random | Iters:   1000 | TTime: 0.00497 | LastNorm: 2.57538e-02 | Iterations/sec: 201175.30817 | Convergence: false |
Execution Info - Random | Iters:   1000 | TTime: 0.00494 | LastNorm: 4.21796e-03 | Iterations/sec: 202633.17068 | Convergence: false |
Execution Info - Random | Iters:   1000 | TTime: 0.00493 | LastNorm: 9.78439e-03 | Iterations/sec: 202966.56182 | Convergence: false |
Execution Info - Random | Iters:   1000 | TTime: 0.00497 | LastNorm: 3.15303e-03 | Iterations/sec: 201049.94727 | Convergence: false |
Execution Info - Random | Iters:   1000 | TTime: 0.00495 | LastNorm: 8.68250e-03 | Iterations/sec: 202144.87445 | Convergence: false |
